Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Mean Operative Temperature,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Total energy[J](Hourly)
1104786000.0,8.008333333,0.658333333,95194.75,1.533333333,49.66666667,0.0,0.0,285.7474181,-47.33754656,19.23543076,3770938.955,0.0,3024886.24,6795825.195
1104789600.0,7.508333333,0.641666667,95209.16667,1.466666667,75.0,0.0,0.0,302.0315921,-57.03623079,19.2100753,3569067.301,0.0,3448672.176,7017739.477
1104793200.0,7.008333333,0.483333333,95223.75,1.3,346.25,0.0,0.0,326.0820351,-64.67850737,19.11653837,154217.9712,0.0,4489535.187,4643753.158
1104796800.0,6.275,-0.3,95238.75,1.066666667,236.3333333,0.0,0.0,9.131131116,-67.7257366,19.06355341,57316.11482,0.0,4921520.496,4978836.611
1104800400.0,5.316666667,-1.091666667,95253.75,0.9,12.08333333,0.0,0.0,33.22015366,-64.71024562,19.01267086,57316.11482,0.0,5288045.06,5345361.175
1104804000.0,4.375,-1.941666667,95268.16667,1.25,24.91666667,0.0,0.0,57.45143281,-57.14602694,18.96308871,57316.11482,0.0,5645759.016,5703075.131
1104807600.0,3.708333333,-2.516666667,95282.75,1.791666667,177.5833333,0.0,0.0,73.86161957,-47.48148873,18.91846835,57316.11482,0.0,5916463.896,5973780.011
1104811200.0,3.15,-2.425,95297.75,2.758333333,341.1666667,0.0,0.0,86.20761126,-37.0349451,18.87720222,57316.11482,0.0,6153895.008,6211211.123
1104814800.0,2.608333333,-2.65,95312.75,2.016666667,340.0,0.0,0.0,96.68542989,-26.42822695,18.83912038,57316.11482,0.0,6375238.833,6432554.948
1104818400.0,2.166666667,-3.075,95327.75,0.633333333,342.5833333,0.0,0.0,106.4867599,-16.03110773,18.80675675,57316.11482,0.0,6552491.79,6609807.905
1104822000.0,1.825,-3.433333333,95342.16667,0.241666667,87.66666667,0.0,0.0,116.3517783,-6.148313988,18.85620805,2549103.854,0.0,8949860.759,11498964.61
1104825600.0,1.816666667,-3.658333333,95356.75,0.316666667,77.58333333,21.19444444,59.0,126.8183684,2.897175255,18.884059,2112115.456,0.0,8791230.489,10903345.95
1104829200.0,2.716666667,-3.233333333,95371.75,0.283333333,86.0,72.33333333,396.8333333,138.3001948,10.72066098,19.1202938,794198.3536,0.0,8667423.653,9461622.007
1104832800.0,4.116666667,-2.783333333,95386.75,0.316666667,141.0833333,49.75,762.3333333,151.0485903,16.86437846,19.37894486,57316.11482,0.0,5156442.232,5213758.347
1104836400.0,5.341666667,-2.758333333,95401.16667,0.283333333,150.1666667,49.08333333,849.9166667,165.0264221,20.83977797,19.54557779,57316.11482,0.0,4536199.038,4593515.153
1104840000.0,6.266666667,-2.625,95415.75,0.725,152.8333333,50.5,870.0833333,179.7905033,22.24443518,19.68716139,57316.11482,0.0,4016500.723,4073816.838
1104843600.0,6.833333333,-2.208333333,95419.66667,0.575,117.1666667,48.66666667,844.0833333,194.5664394,20.91578932,19.82218886,57316.11482,0.0,3656674.217,3713990.332
1104847200.0,7.0,-2.291666667,95415.66667,0.141666667,129.9166667,54.58333333,728.75,208.5744019,17.00789935,19.90339347,57316.11482,0.0,3414814.353,3472130.468
1104850800.0,6.708333333,-2.558333333,95411.66667,0.158333333,200.25,80.0,365.6666667,221.3595616,10.9184945,19.84272827,57316.11482,0.0,3552873.211,3610189.326
1104854400.0,5.916666667,-3.066666667,95407.08333,0.316666667,222.8333333,24.66666667,33.33333333,232.8745401,3.135646364,19.61189725,1178656.197,0.0,3626172.983,4804829.18
1104858000.0,5.15,-2.816666667,95402.66667,0.633333333,198.6666667,0.0,0.0,243.3645785,-5.881114168,19.42972616,1363184.304,0.0,4011848.168,5375032.472
1104861600.0,4.55,-1.7,95398.66667,0.8,151.6666667,0.0,0.0,253.2397958,-15.74500761,19.31640481,1617540.857,0.0,4064578.835,5682119.692
1104865200.0,3.891666667,-1.433333333,95394.66667,1.091666667,118.3333333,0.0,0.0,263.0341244,-26.13178176,19.28908534,3674037.099,0.0,4412835.917,8086873.016
1104868800.0,3.25,-1.425,95390.66667,0.775,65.66666667,0.0,0.0,273.4796944,-36.7370731,19.2366356,3770938.955,0.0,4581830.011,8352768.966
1104872400.0,2.65,-1.533333333,95386.66667,0.691666667,120.3333333,0.0,0.0,285.7497286,-47.19473448,19.18770341,3770938.955,0.0,4814801.242,8585740.197
1104876000.0,2.05,-1.933333333,95382.66667,0.841666667,132.4166667,0.0,0.0,302.0013323,-56.89445555,19.14037811,3569067.301,0.0,5302737.569,8871804.87
1104879600.0,1.45,-1.691666667,95378.08333,0.741666667,84.75,0.0,0.0,325.9573161,-64.54641929,19.03259867,154217.9712,0.0,6407052.426,6561270.397
1104883200.0,1.025,-2.216666667,95373.66667,1.75,95.25,0.0,0.0,9.097158285,-67.62093354,18.9665237,57316.11482,0.0,6779424.597,6836740.712
1104886800.0,0.725,-3.033333333,95369.66667,2.966666667,101.9166667,0.0,0.0,32.89981022,-64.65820589,18.91096586,57316.11482,0.0,6971583.774,7028899.889
1104890400.0,0.483333333,-3.141666667,95365.66667,2.366666667,335.3333333,0.0,0.0,57.1804116,-57.13241188,18.86605462,57316.11482,0.0,7118986.611,7176302.726
1104894000.0,0.283333333,-3.333333333,95361.66667,1.175,287.6666667,0.0,0.0,73.64316301,-47.48653452,18.82935102,57316.11482,0.0,7232105.655,7289421.77
1104897600.0,0.141666667,-3.5,95357.66667,1.791666667,37.5,0.0,0.0,86.02333872,-37.04653167,18.79259105,57316.11482,0.0,7335895.248,7393211.363
1104901200.0,0.041666667,-3.091666667,95353.08333,1.8,83.83333333,0.0,0.0,96.52126553,-26.43910973,18.75969447,57316.11482,0.0,7413631.929,7470948.044
1104904800.0,-0.058333333,-3.266666667,95348.66667,1.708333333,5.0,0.0,0.0,106.333581,-16.0361942,18.72932245,57316.11482,0.0,7487831.067,7545147.182
1104908400.0,-0.158333333,-3.6,95344.66667,1.241666667,4.75,0.0,0.0,116.2037774,-6.14331096,18.77883366,2549103.854,0.0,9801439.478,12350543.33
1104912000.0,-0.025,-3.483333333,95340.66667,0.583333333,57.0,19.25,48.66666667,126.6722742,2.916358118,18.80513539,2112115.456,0.0,9586195.525,11698310.98
1104915600.0,1.15,-3.458333333,95336.66667,0.383333333,72.5,72.0,338.0,138.1554066,10.75799533,19.01234903,857130.8536,0.0,9354758.635,10211889.49
1104919200.0,3.066666667,-3.325,95332.66667,0.241666667,72.5,63.33333333,686.8333333,150.9078599,16.92324801,19.27759975,57316.11482,0.0,5692074.614,5749390.729
1104922800.0,4.716666667,-3.083333333,95328.08333,0.2,125.8333333,56.75,765.3333333,164.8961063,20.92193116,19.44445537,57316.11482,0.0,4953553.159,5010869.274
1104926400.0,5.941666667,-3.35,95323.66667,0.2,162.0,55.41666667,807.8333333,179.6788574,22.34883533,19.59210982,57316.11482,0.0,4328068.458,4385384.573
1104930000.0,6.75,-3.25,95322.58333,0.608333333,171.0833333,48.41666667,826.5833333,194.4798366,21.03844227,19.73907407,57316.11482,0.0,3874830.069,3932146.184
1104933600.0,7.116666667,-3.233333333,95323.58333,0.783333333,92.33333333,53.83333333,719.8333333,208.514392,17.14320285,19.8289224,57316.11482,0.0,3583247.793,3640563.908
1104937200.0,6.908333333,-3.283333333,95324.58333,0.7,68.41666667,77.16666667,353.8333333,221.3233086,11.0611232,19.77120407,57316.11482,0.0,3686140.92,3743457.035
