Insulation Thickness,ACH,shading temperature,shading irradiation,glazing layers,Electricity:Facility,DistrictHeating:Facility,DistrictCooling:Facility
0.35,0.0,28.0,80.0,1,2459.3978787861165,11606.998903888874,777.2232787112561
0.35,0.0,28.0,300.0,1,2454.0399285569497,11607.003252944409,785.9577026522356
0.35,4.0,28.0,300.0,1,2454.0399285569497,11607.003252944409,785.9577026522356
0.35,6.0,28.0,300.0,1,2454.0399285569497,11607.003252944409,785.9577026522356
0.35,2.0,28.0,300.0,1,2454.0399285569497,11607.003252944409,785.9577026522356
0.35,4.0,28.0,240.0,1,2455.553684015283,11607.024200257785,782.3120847169351
0.35,0.0,28.0,240.0,1,2455.553684015283,11607.024200257785,782.3120847169351
0.35,2.0,28.0,240.0,1,2455.553684015283,11607.024200257785,782.3120847169351
0.35,6.0,28.0,240.0,1,2455.553684015283,11607.024200257785,782.3120847169351
0.35,2.0,28.0,120.0,1,2458.502442827783,11607.025960165485,778.0993878027242
0.35,0.0,28.0,120.0,1,2458.502442827783,11607.025960165485,778.0993878027242
0.35,4.0,28.0,120.0,1,2458.502442827783,11607.025960165485,778.0993878027242
0.35,6.0,28.0,120.0,1,2458.502442827783,11607.025960165485,778.0993878027242
0.35,0.0,24.0,300.0,1,2488.786679577783,11607.06337506716,494.65748581786187
0.35,4.0,24.0,300.0,1,2488.786679577783,11607.06337506716,494.65748581786187
0.35,2.0,24.0,300.0,1,2488.786679577783,11607.06337506716,494.65748581786187
0.35,6.0,24.0,300.0,1,2488.786679577783,11607.06337506716,494.65748581786187
0.35,2.0,24.0,240.0,1,2496.9018540777834,11607.069539287268,481.1337636664511
0.35,4.0,24.0,240.0,1,2496.9018540777834,11607.069539287268,481.1337636664511
0.35,0.0,24.0,240.0,1,2496.9018540777834,11607.069539287268,481.1337636664511
0.35,6.0,24.0,240.0,1,2496.9018540777834,11607.069539287268,481.1337636664511
0.35,6.0,24.0,120.0,1,2514.8900750986163,11607.072161318425,464.902528050936
0.35,2.0,24.0,120.0,1,2514.8900750986163,11607.072161318425,464.902528050936
0.35,0.0,24.0,120.0,1,2514.8900750986163,11607.072161318425,464.902528050936
0.35,4.0,24.0,120.0,1,2514.8900750986163,11607.072161318425,464.902528050936
0.35,6.0,24.0,80.0,1,2522.780048327783,11607.079764749675,463.30616537288154
0.35,0.0,24.0,80.0,1,2522.780048327783,11607.079764749675,463.30616537288154
0.35,4.0,24.0,80.0,1,2522.780048327783,11607.079764749675,463.30616537288154
0.35,2.0,24.0,80.0,1,2522.780048327783,11607.079764749675,463.30616537288154
0.3,2.0,28.0,80.0,1,2459.3978787861165,11618.192982607146,777.2982489760301
0.3,4.0,28.0,80.0,1,2459.3978787861165,11618.192982607146,777.2982489760301
